mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__estimator__C,param_clf__estimator__penalty,param_clf__estimator__solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
51.97128446896871,1.9415490083360747,1.2410037517547607,0.034740452728392116,0.31489116479568624,l1,saga,"{'clf__estimator__C': np.float64(0.31489116479568624), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630072487581197,0.9631871451782268,0.96282937279995,0.9630079222454322,0.0001460607381727097,15
40.94233210881551,1.7654346659555826,1.0787033240000408,0.06120746048704735,0.05416754583247458,l2,saga,"{'clf__estimator__C': np.float64(0.05416754583247458), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630063371072406,0.9631866355879781,0.9628287258790426,0.9630072328580871,0.0001461173996364333,90
50.90933132171631,2.260687310323412,1.0786678791046143,0.06380263765386436,2.481040974867813,l1,saga,"{'clf__estimator__C': np.float64(2.481040974867813), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630068780730157,0.9631867945009998,0.9628289794998826,0.9630075506912993,0.00014607813677992629,28
50.6506663163503,2.094858689699651,1.057036558787028,0.05442448752322244,0.6071989493441299,l1,saga,"{'clf__estimator__C': np.float64(0.6071989493441299), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630070347471091,0.963186957291438,0.9628290998122925,0.9630076972836132,0.00014609545523631832,18
40.28033606211344,1.0288942904061333,1.0413039525349934,0.030343469582327275,0.017073967431528128,l2,saga,"{'clf__estimator__C': np.float64(0.017073967431528128), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630058132183819,0.9631864183508754,0.962828278630736,0.9630068367333311,0.00014621171971385724,95
40.215357859929405,0.9959540808369378,1.0426352818806965,0.025008062344945826,0.21618942406574443,l2,saga,"{'clf__estimator__C': np.float64(0.21618942406574443), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630065849057141,0.9631868607529221,0.9628289349653615,0.9630074602079993,0.0001461239016857458,75
39.67330821355184,1.4242377058888915,1.0786534945170085,0.0808872473000057,6.79657809075816,l2,saga,"{'clf__estimator__C': np.float64(6.79657809075816), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630068639372368,0.9631867638683904,0.9628288748803956,0.9630075008953409,0.00014610826173015203,62
40.29069892565409,1.0968044629143814,1.0397180716196697,0.02476592130532218,0.016813042706040678,l2,saga,"{'clf__estimator__C': np.float64(0.016813042706040678), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630058604190604,0.9631864280902132,0.9628281277059314,0.9630068054050683,0.00014627704557455115,96
40.91700061162313,1.2830899088656633,1.0293336709340413,0.007037634541038816,21.368329072358772,l2,saga,"{'clf__estimator__C': np.float64(21.368329072358772), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630068631332582,0.9631867580268232,0.9628289450609386,0.9630075220736733,0.0001460772747341349,52
186.98997267087302,173.7630535155557,1.0180033842722576,0.004080338518603292,0.010071984838809197,l2,saga,"{'clf__estimator__C': np.float64(0.010071984838809197), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630041072466415,0.963183105388377,0.9628267655663172,0.9630046594004452,0.00014547564710694878,100
40.15699815750122,0.8108771607183257,1.021669069925944,0.01236348291113978,0.05415244119402541,l2,saga,"{'clf__estimator__C': np.float64(0.05415244119402541), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630063410151881,0.9631866347025837,0.962828726510016,0.9630072340759294,0.00014611677235434092,88
51.02706503868103,1.8196451666479887,1.0015637874603271,0.003858315929674968,2.7964859516062464,l1,saga,"{'clf__estimator__C': np.float64(2.7964859516062464), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630068774929298,0.963186790460752,0.9628289796423604,0.9630075491986808,0.00014607642709891472,31
49.83431061108907,1.7240713425927268,1.0460356871287029,0.04057048027403976,0.5342937261279778,l1,saga,"{'clf__estimator__C': np.float64(0.5342937261279778), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630070708345617,0.963187003240352,0.9628291573428333,0.9630077438059157,0.00014609075092919063,16
50.60233736038208,1.7989702678912924,1.097995678583781,0.05649257885108399,1.256315277393867,l1,saga,"{'clf__estimator__C': np.float64(1.256315277393867), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630069302909288,0.9631868568144439,0.9628290281967935,0.963007605100722,0.0001460837007303192,23
40.44669429461161,0.7911779929146762,1.011967658996582,0.01501588206491061,0.03613894271216528,l2,saga,"{'clf__estimator__C': np.float64(0.03613894271216528), 'clf__estimator__penalty': 'l2', 'clf__estimator__solver': 'saga'}",0.9630063796672313,0.9631865930381642,0.9628286823215131,0.963007218342303,0.00014611764165753708,93
51.628997802734375,2.2607994446244155,1.0223352114359539,0.009808454767268129,78.52755494724258,l1,saga,"{'clf__estimator__C': np.float64(78.52755494724258), 'clf__estimator__penalty': 'l1', 'clf__estimator__solver': 'saga'}",0.9630068659217413,0.9631867605405289,0.9628289489383729,0.9630075251335476,0.00014607671860934605,47
