model,accuracy,precision,recall,f1,roc_auc,avg_proba
enhanced_sentiment_ensemble_v4,0.9105953489543418,0.9234718259041166,0.9448908794659605,0.9340585778474316,0.9686859933768284,0.648152789730452
sentiment_pipeline_v3.4,0.8416006220319979,0.865286994634465,0.9044403434343304,0.8844305557832014,0.8886172395600556,0.6768314152786584
sentiment_pipeline_v3.5,0.8412796757283321,0.8652153894163889,0.9039755100942712,0.8841708638739028,0.8883292167300045,0.6765525591169783
